id,title,genre,director,cast,keywords,description,rating
1,Skyward Horizon,Sci-Fi Action,Rita Kalman,"Dev Arora, Nina Wells","space travel,robot,future,exploration",A crew of astronauts must repair a damaged space station before it falls out of orbit.,7.8
2,Neon Circuit,Sci-Fi Action,Marco Fenn,"Dev Arora, Sam Ito","robot,artificial intelligence,future,city",A rogue AI takes control of a city's machines and one engineer must shut it down in time.,7.5
3,The Last Signal,Sci-Fi Drama,Rita Kalman,"Nina Wells, Priya Shah","space travel,isolation,survival,future",A lone astronaut receives a mysterious signal while drifting through deep space alone.,8.0
4,Iron Orbit,Sci-Fi Action,Marco Fenn,"Sam Ito, Leo Grant","robot,space travel,war,future",Two rival space colonies build robotic armies to fight over the last fuel reserves.,7.2
5,Quantum Drift,Sci-Fi Thriller,Alan Reyes,"Priya Shah, Leo Grant","time travel,future,mystery,physics",A physicist accidentally sends herself three days into the future and must fix her mistake.,7.9
6,Silent Vows,Romance Drama,Elena Cruz,"Maya Patel, Arjun Rao","wedding,family,love,small town",Two childhood friends reunite at a wedding and must confront feelings they buried years ago.,7.6
7,Monsoon Letters,Romance Drama,Elena Cruz,"Arjun Rao, Kiran Bose","letters,long distance,love,family",A soldier and his childhood sweetheart stay connected through letters during wartime.,7.7
8,Coffee and Rain,Romance Comedy,Farah Hussain,"Maya Patel, Tom Lynch","coffee shop,city,love,friendship",A barista and a regular customer slowly fall for each other over shared cups of coffee.,7.1
9,Second Chances,Romance Drama,Farah Hussain,"Kiran Bose, Nora Bell","divorce,family,love,second chance",A divorced couple is forced to work together again when their daughter plans her wedding.,7.3
10,Laugh Track,Comedy,Jake Summers,"Tom Lynch, Nora Bell","stand-up comedy,friendship,city,career",A struggling comedian and his roommate try to make it big on the city's comedy circuit.,6.9
11,Office Chaos,Comedy,Jake Summers,"Nora Bell, Leo Grant","workplace,friendship,office,career",A chaotic office team must pull off the biggest client presentation of the year.,6.8
12,Roadtrip Rules,Comedy,Priti Nanda,"Tom Lynch, Arjun Rao","roadtrip,friendship,comedy,adventure",Three friends break every rule of their carefully planned roadtrip within the first hour.,7.0
13,The Heist Clock,Thriller Action,Alan Reyes,"Leo Grant, Sam Ito","heist,crime,city,mystery",A team of thieves has exactly ninety minutes to break into a bank before the vault resets.,7.8
14,Midnight Witness,Thriller,Alan Reyes,"Priya Shah, Kiran Bose","crime,mystery,city,investigation",A late-night taxi driver becomes the only witness to a crime that puts her life in danger.,7.6
15,Cold Case File,Thriller Drama,Diana Okoro,"Nina Wells, Arjun Rao","crime,investigation,mystery,detective",A detective reopens a decade old murder case after finding one overlooked piece of evidence.,7.7
16,Shattered Alibi,Thriller,Diana Okoro,"Kiran Bose, Nora Bell","crime,mystery,courtroom,investigation",A defense lawyer realizes her own client may be hiding the real truth about the murder.,7.4
17,Dragon's Peak,Fantasy Adventure,Owen Blake,"Maya Patel, Dev Arora","dragons,magic,kingdom,adventure",A young blacksmith discovers she can speak to dragons and must save her kingdom from war.,8.1
18,The Hidden Realm,Fantasy Adventure,Owen Blake,"Dev Arora, Priya Shah","magic,kingdom,quest,adventure",A group of unlikely heroes journeys through a hidden realm to recover a stolen crown.,7.9
